Reversed left context	Reversed center	Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
 тюатсод ,нишам зи тюавикаксыв адопсог	 еыртсо 	господа выскакивают из машин, достают 	 острые 	 	 ножи и для начала в	Александр Росляков. Уроки пластунского // «Столица», 1997.05.27	Александр Росляков		Уроки пластунского	1997	нехудожественная, публицистика	заметка	транспорт	«Столица»	1997.05.27	журнал	омонимия не снята	Крутые господа выскакивают из машин, достают острые ножи и для начала в один миг пропарывают все четыре колеса плебейской тачке. [Александр Росляков. Уроки пластунского // «Столица», 1997.05.27] [омонимия не снята]
 хынчыбо отсемв игурк еикориш и	 хыртсо 	и широкие круги вместо обычных 	 острых 	 	 гребней.	Андрей Балдин. Московские праздные дни (1997)	Андрей Балдин	1958	Московские праздные дни	1997	нехудожественная, публицистика	цикл, эссе	культурология			книга	омонимия не снята	Странные украшения над окнами это подтверждают ― плоские и широкие круги вместо обычных острых гребней. [Андрей Балдин. Московские праздные дни (1997)] [омонимия не снята]
 ,атрос огешсыв икум ммарголик илаД	 еыртсо 	Дали килограмм муки высшего сорта, 	 острые 	 	 ножи и сказали, чтобы он	Андрей Колесников. Прага нашего города // «Столица», 1997.09.02	Андрей Колесников	1968	Прага нашего города	1997	нехудожественная, публицистика	статья	политика и общественная жизнь	«Столица»	1997.09.02	журнал	омонимия не снята	Дали килограмм муки высшего сорта, острые ножи и сказали, чтобы он этими ножами порубил эту муку. [Андрей Колесников. Прага нашего города // «Столица», 1997.09.02] [омонимия не снята]
 как ,ималаж яавихамзар ,янп зИ	 имыртсо 	Из пня, размахивая жалами, как 	 острыми 	 	 шпагами, вылетел рассерженный рой во	Валентин Постников. Приключения Вахмурки и Мухмурки (1997)	Валентин Постников	1970	Приключения Вахмурки и Мухмурки	1997	художественная	сказка	_			книга	омонимия не снята	Из пня, размахивая жалами, как острыми шпагами, вылетел рассерженный рой во главе с Отилкой. [Валентин Постников. Приключения Вахмурки и Мухмурки (1997)] [омонимия не снята]
' ьшиЛ 	 ишорох :инмоп окьлот'	 еыртсо 	'только помни: хороши 	 Лишь '	 острые 	 	 карандаши! 	Валентин Постников. Приключения Карандаша и Самоделкина на «Дрындолете» (1997)	Валентин Постников	1970	Приключения Карандаша и Самоделкина на «Дрындолете»	1997	художественная	сказка	_			книга	омонимия не снята	'Но только помни: хороши 	 Лишь острые карандаши!  [Валентин Постников. Приключения Карандаша и Самоделкина на «Дрындолете» (1997)] [омонимия не снята]'
 вокинйобзар илавиклатдоп иракиД	 имыртсо 	Дикари подталкивали разбойников 	 острыми 	 	 копьями.	Валентин Постников. Приключения Карандаша и Самоделкина на «Дрындолете» (1997)	Валентин Постников	1970	Приключения Карандаша и Самоделкина на «Дрындолете»	1997	художественная	сказка	_			книга	омонимия не снята	Дикари подталкивали разбойников острыми копьями. [Валентин Постников. Приключения Карандаша и Самоделкина на «Дрындолете» (1997)] [омонимия не снята]
 икур в вязв ,йеракид окьлоксен	 еыртсо 	несколько дикарей, взяв в руки 	 острые 	 	 копья, направились к пленникам.	Валентин Постников. Приключения Карандаша и Самоделкина на «Дрындолете» (1997)	Валентин Постников	1970	Приключения Карандаша и Самоделкина на «Дрындолете»	1997	художественная	сказка	_			книга	омонимия не снята	Путешественники обернулись и увидели, как несколько дикарей, взяв в руки острые копья, направились к пленникам. [Валентин Постников. Приключения Карандаша и Самоделкина на «Дрындолете» (1997)] [омонимия не снята]
 ,укволог алянолкс акчовеД	 еыртсо 	Девочка склоняла головку, 	 острые 	 	 плечики ее подавались вперед, и монотонно	Валентин Распутин. Нежданно-негаданно (1997)	Валентин Распутин	1937	Нежданно-негаданно	1997	художественная	рассказ	_			книга	омонимия не снята	Девочка склоняла головку, острые плечики ее подавались вперед, и монотонно и печально повторяла:  [Валентин Распутин. Нежданно-негаданно (1997)] [омонимия не снята]
 то яславичарову оквол тоТ	 хыртсо 	Тот ловко уворачивался от 	 острых 	 	 зонтиков, потом вспрыгнул на подножку троллейбуса,	Василий Аксенов. Новый сладостный стиль (1997)	Василий Аксенов	1932	Новый сладостный стиль	1997	художественная	роман	_			книга	омонимия не снята	Тот ловко уворачивался от острых зонтиков, потом вспрыгнул на подножку троллейбуса, махнул маленьким триколором ― умру за демократию!  [Василий Аксенов. Новый сладостный стиль (1997)] [омонимия не снята]
 с йокчолап лавылакан кеволеч йолижоп	 йортсо 	пожилой человек накалывал палочкой с 	 острой 	 	 иглой, вмонтированной в ее кончик,	Евгений Весник. Дарю, что помню (1997)	Евгений Весник	1923	Дарю, что помню	1997	нехудожественная, публицистика	мемуары	_			книга	омонимия не снята	Около нашей гостиницы пожилой человек накалывал палочкой с острой иглой, вмонтированной в ее кончик, брошенные в урны и просто на тротуар окурки и высыпал остатки табака в мешочек, прикрепленный к поясу брюк. [Евгений Весник. Дарю, что помню (1997)] [омонимия не снята]
 оге аланип овилгзерб анО	 йортсо 	Она брезгливо пинала его 	 острой 	 	 туфлей.	Екатерина Костикова. Это наша с тобой порнография // «Столица», 1997.08.12	Екатерина Костикова		Это наша с тобой порнография	1997	нехудожественная, публицистика	статья	искусство и культура	«Столица»	1997.08.12	журнал	омонимия не снята	Она брезгливо пинала его острой туфлей. [Екатерина Костикова. Это наша с тобой порнография // «Столица», 1997.08.12] [омонимия не снята]
 еоннакыту ,олсерк ;восач 63 ан	 имыртсо 	на 36 часов; кресло, утыканное 	 острыми 	 	 иглами; тиски, в которых дробят	Елена Хаецкая. Мракобес/ Ведьма (1997)	Елена Хаецкая	1963	Мракобес/ Ведьма	1997	художественная	повесть	_			книга	омонимия не снята	Безвольно пошла она за ним, спустилась в подвал, чтобы увидеть то, о чем прежде лишь слышала: заостренные козлы, на которые усаживают верхом, привязав к ногам груз, на 36 часов; кресло, утыканное острыми иглами; тиски, в которых дробят пальцы рук и ног, колесо и дыбу. [Елена Хаецкая. Мракобес/ Ведьма (1997)] [омонимия не снята]
 алсорыв оннадижоен йодром ее дереп	 яартсо 	перед ее мордой неожиданно выросла 	 острая 	 	 пика.	Елена Хаецкая. Мракобес/ Дорога (1997)	Елена Хаецкая	1963	Мракобес/ Дорога	1997	художественная	повесть	_			книга	омонимия не снята	Головная лошадь заржала, попятилась ― прямо перед ее мордой неожиданно выросла острая пика. [Елена Хаецкая. Мракобес/ Дорога (1997)] [омонимия не снята]
 йондолох иеш оге яслунсок акгелс	 йортсо 	слегка коснулся его шеи холодной 	 острой 	 	 пикой.	Елена Хаецкая. Мракобес/ Дорога (1997)	Елена Хаецкая	1963	Мракобес/ Дорога	1997	художественная	повесть	_			книга	омонимия не снята	Витвемахер слегка коснулся его шеи холодной острой пикой. [Елена Хаецкая. Мракобес/ Дорога (1997)] [омонимия не снята]
.йонипс ман к ьсалунревоп И	 еыртсО 	И повернулась к нам спиной.	 Острые 	 	 лопатки торчали из-под воротника почти	Елена Хаецкая. Синие стрекозы Вавилона/ Обретение Энкиду (1997)	Елена Хаецкая	1963	Синие стрекозы Вавилона/ Обретение Энкиду	1997	художественная	роман	_			книга	омонимия не снята	И повернулась к нам спиной. Острые лопатки торчали из-под воротника почти так же вызывающе, как грудки. [Елена Хаецкая. Синие стрекозы Вавилона/ Обретение Энкиду (1997)] [омонимия не снята]
 оненарзи оно атарб огеовт у	 имыртсо 	у твоего брата оно изранено 	 острыми 	 	 мечами.	Елена Хаецкая. Синие стрекозы Вавилона/ Обретение Энкиду (1997)	Елена Хаецкая	1963	Синие стрекозы Вавилона/ Обретение Энкиду	1997	художественная	роман	_			книга	омонимия не снята	Я вижу, что у твоего брата оно изранено острыми мечами. [Елена Хаецкая. Синие стрекозы Вавилона/ Обретение Энкиду (1997)] [омонимия не снята]
 коб енм вавосолопсар ен авде	 имыртсо 	едва не располосовав мне бок 	 острыми 	 	 ножами, вращающимися в осях колес.	Елена Хаецкая. Синие стрекозы Вавилона/ Обретение Энкиду (1997)	Елена Хаецкая	1963	Синие стрекозы Вавилона/ Обретение Энкиду	1997	художественная	роман	_			книга	омонимия не снята	Большая боевая колесница промчалась мимо, едва не располосовав мне бок острыми ножами, вращающимися в осях колес. [Елена Хаецкая. Синие стрекозы Вавилона/ Обретение Энкиду (1997)] [омонимия не снята]
 ьсилагивдаз йокшабур доП	 еыртсо 	Под рубашкой задвигались 	 острые 	 	 лопатки.	Елена Хаецкая. Хальдор из светлого города (1997)	Елена Хаецкая	1963	Хальдор из светлого города	1997	художественная	повесть	_			книга	омонимия не снята	Под рубашкой задвигались острые лопатки. [Елена Хаецкая. Хальдор из светлого города (1997)] [омонимия не снята]
 лункт и нибарак ебес к	 мыртсо 	к себе карабин и ткнул 	 острым 	 	 крюком погонщика за ухо слону,	Иван Охлобыстин. Танго смерти // «Столица», 1997.05.27	Иван Охлобыстин	1966	Танго смерти	1997	нехудожественная, публицистика	статья	частная жизнь	«Столица»	1997.05.27	журнал	омонимия не снята	ответил он, подтянул поближе к себе карабин и ткнул острым крюком погонщика за ухо слону, отчего тот заметно ускорил шаг. [Иван Охлобыстин. Танго смерти // «Столица», 1997.05.27] [омонимия не снята]
 ыцищьлазеР	 имыртсо 	Резальщицы 	 острыми 	 	 ножами кромсали ледяные глыбы на	Игорь Лепин. Ода мороженому рабочих и крестьян // «Столица», 1997.09.02	Игорь Лепин		Ода мороженому рабочих и крестьян	1997	нехудожественная, публицистика	статья	производство	«Столица»	1997.09.02	журнал	омонимия не снята	Резальщицы острыми ножами кромсали ледяные глыбы на стограммовые брикетики « Сливочного» и « Пломбира». [Игорь Лепин. Ода мороженому рабочих и крестьян // «Столица», 1997.09.02] [омонимия не снята]
.ниефок ястижредос йороток в ,ьтсач	 мыртсО 	часть, в которой содержится кофеин.	 Острым 	 	 паром.	Катя Метелица. Московские народные сказки // «Столица», 1997.09.02	Катя Метелица		Московские народные сказки	1997	нехудожественная, публицистика	заметка	частная жизнь	«Столица»	1997.09.02	журнал	омонимия не снята	часть, в которой содержится кофеин. Острым паром. [Катя Метелица. Московские народные сказки // «Столица», 1997.09.02] [омонимия не снята]
 :ястеавызан и омярп отэ каТ	 мыртсо 	Так это прямо и называется: 	 острым 	 	 паром.	Катя Метелица. Московские народные сказки // «Столица», 1997.09.02	Катя Метелица		Московские народные сказки	1997	нехудожественная, публицистика	заметка	частная жизнь	«Столица»	1997.09.02	журнал	омонимия не снята	Так это прямо и называется: острым паром. [Катя Метелица. Московские народные сказки // «Столица», 1997.09.02] [омонимия не снята]
 ежот оН	 мыртсо 	Но тоже 	 острым 	 	 паром.	Катя Метелица. Московские народные сказки // «Столица», 1997.09.02	Катя Метелица		Московские народные сказки	1997	нехудожественная, публицистика	заметка	частная жизнь	«Столица»	1997.09.02	журнал	омонимия не снята	Но тоже острым паром. [Катя Метелица. Московские народные сказки // «Столица», 1997.09.02] [омонимия не снята]
 оге ,мовтснартсорп яслатип но ―	 имыртсо 	― он питался пространством, его 	 острыми 	 	 клиньями ― точно аэродинамическая труба.	Марина Вишневецкая. Вышел месяц из тумана (1997)	Марина Вишневецкая	1955	Вышел месяц из тумана	1997	художественная	повесть, рассказ	_			книга	омонимия не снята	Он беззвучно смотрел, как ты ешь, как ты бреешься, как смотришь в газету, как лаешься с Людасей ― и слова застревали куском ― он утягивал их в себя ― он питался пространством, его острыми клиньями ― точно аэродинамическая труба. [Марина Вишневецкая. Вышел месяц из тумана (1997)] [омонимия не снята]
 бо ябес линар ,игород яарибзар	 еыртсо 	разбирая дороги, ранил себя об 	 острые 	 	 колышки ― и тогда истекающее	О. Назаров. Исторический розыск. Послание с острова Буру // «Вокруг света», 1997	О. Назаров		Исторический розыск. Послание с острова Буру	1997	нехудожественная, публицистика	очерк	история, культурология, природа, путешествия	«Вокруг света»	1997	журнал	омонимия не снята	Шум пугал зверя, и он уже бежал, не разбирая дороги, ранил себя об острые колышки ― и тогда истекающее кровью животное добивали охотники. [О. Назаров. Исторический розыск. Послание с острова Буру // «Вокруг света», 1997] [омонимия не снята]
 миовс адорирп йороток ан ,аволог	 мыртсо 	голова, на которой природа своим 	 острым 	 	 резцом изваяла грубые черты простого	Олег Гриневский. Тысяча и один день Никиты Сергеевича (1997)	Олег Гриневский	1930	Тысяча и один день Никиты Сергеевича	1997	нехудожественная, публицистика	мемуары	_			книга	омонимия не снята	Над животом возвышалась круглая лысая голова, на которой природа своим острым резцом изваяла грубые черты простого крестьянина. [Олег Гриневский. Тысяча и один день Никиты Сергеевича (1997)] [омонимия не снята]
 хыннилд юьщомоп С	 хыртсо 	С помощью длинных 	 острых 	 	 резцов летучая мышь- вампир молниеносно	С. В. Рязанцев. В мире запахов и звуков (1997)	С. В. Рязанцев		В мире запахов и звуков	1997	нехудожественная, учебно-научная	монография	естественные науки, здоровье и медицина			книга	омонимия не снята	С помощью длинных острых резцов летучая мышь- вампир молниеносно делает на теле жертвы глубокую рану и слизывает языком вытекающую из нее кровь. [С. В. Рязанцев. В мире запахов и звуков (1997)] [омонимия не снята]
 или имыпут асон ьтсалбо в	 имыртсо 	в область носа тупыми или 	 острыми 	 	 орудиями, повреждения костного остова носа	С. В. Рязанцев. В мире запахов и звуков (1997)	С. В. Рязанцев		В мире запахов и звуков	1997	нехудожественная, учебно-научная	монография	естественные науки, здоровье и медицина			книга	омонимия не снята	Возможно кровотечение из зоны Киссельбаха при удалении сухих корок, а также при травмах ( удары в область носа тупыми или острыми орудиями, повреждения костного остова носа при различного рода несчастных случаях). [С. В. Рязанцев. В мире запахов и звуков (1997)] [омонимия не снята]
 ьтичюлкси теуделс аноицар зи А	 еыртсо 	А из рациона следует исключить 	 острые 	 	 блюда, мед, шоколад, другие сладости,	С. Масюкова. Чирий // «Здоровье», 1997.12.15	С. Масюкова		Чирий	1997	нехудожественная, публицистика	статья	здоровье и медицина	«Здоровье»	1997.12.15	журнал	омонимия не снята	А из рациона следует исключить острые блюда, мед, шоколад, другие сладости, картофель. [С. Масюкова. Чирий // «Здоровье», 1997.12.15] [омонимия не снята]
 ончот ,ытосарк йоннедйозверпен оцил ,зеторп	 мыртсо 	протез, лицо непревзойденной красоты, точно 	 острым 	 	 ножом по смуглому дереву вырезанные	Татьяна Бек. Люди-кактусы-верблюды, или Думая об Арсении Тарковском (1997) // «Дружба народов», 2003	Татьяна Бек	1949	Люди-кактусы-верблюды, или Думая об Арсении Тарковском	1997	нехудожественная, публицистика	мемуары	_	«Дружба народов»	2003	журнал	омонимия не снята	протез, лицо непревзойденной красоты, точно острым ножом по смуглому дереву вырезанные морщины. [Татьяна Бек. Люди-кактусы-верблюды, или Думая об Арсении Тарковском (1997) // «Дружба народов», 2003] [омонимия не снята]
 евд и сон йыннилд ,азалг	 хыртсо 	глаза, длинный нос и две 	 острых 	 	 палочки, которые торчат у него	Международный день укрепления семьи // «Столица», 1997.07.01			Международный день укрепления семьи	1997	нехудожественная, публицистика	репортаж	частная жизнь	«Столица»	1997.07.01	журнал	омонимия не снята	Эти части ― ноги, уши, глаза, длинный нос и две острых палочки, которые торчат у него изо рта и как-то называются, но я забыл как. [Международный день укрепления семьи // «Столица», 1997.07.01] [омонимия не снята]
 лакыторп тнозирог едг-еоК	 йортсо 	Кое-где горизонт протыкал 	 острой 	 	 иглой темный костел, либо упрямо	Виктор Астафьев. Веселый солдат (1987-1997) // «Новый Мир», 1998	Виктор Астафьев	1924	Веселый солдат	1987-1997	художественная	рассказ	_	«Новый Мир»	1998	журнал	омонимия не снята	Кое-где горизонт протыкал острой иглой темный костел, либо упрямо белела и золотилась крестиком подбористая церковка. [Виктор Астафьев. Веселый солдат (1987-1997) // «Новый Мир», 1998] [омонимия не снята]
 ― ердеб меовс ан уцинарг	 мыртсо 	границу на своем бедре ― 	 острым 	 	 прутиком по загорелой коже.	Л. Р. Кабо. Ровесники Октября (1964-1997)	Л. Р. Кабо	1917	Ровесники Октября	1964-1997	художественная	роман	_			электронный текст	омонимия не снята	Это Женька очень хорошо помнила: лагерные линейки в двадцать девятом, и беседы у костра, и то, как Макса рисовал нашу восточную границу на своем бедре ― острым прутиком по загорелой коже. [Л. Р. Кабо. Ровесники Октября (1964-1997)] [омонимия не снята]
 йынморго ил ьшичот ен и	 йыртсо 	и не точишь ли огромный 	 острый 	 	 нож с нехорошим намерением воткнуть	Александра Маринина. Не мешайте палачу (1996)	Александра Маринина	1957	Не мешайте палачу	1996	художественная	роман	_			книга	омонимия не снята	Черт с тобой, придется терпеть тебя рядом с диваном, но это и лучше, во всяком случае, я в любой момент смогу видеть тебя, а не прислушиваться к звукам на кухне и не гадать судорожно, чем ты там занимаешься и не точишь ли огромный острый нож с нехорошим намерением воткнуть его мне в глотку». [Александра Маринина. Не мешайте палачу (1996)] [омонимия не снята]
 ьтсортих отч ,ляноп узарс нО	 еертсо 	Он сразу понял, что хитрость 	 острее 	 	 меча, а цель оправдывает все.	Борис Васильев. Вещий Олег (1996)	Борис Васильев	1924	Вещий Олег	1996	художественная	роман	_			книга	омонимия не снята	Он сразу понял, что хитрость острее меча, а цель оправдывает все. [Борис Васильев. Вещий Олег (1996)] [омонимия не снята]
 ьтсортиХ	 еертсо 	Хитрость 	 острее 	 	 меча, но то и другое	Борис Васильев. Вещий Олег (1996)	Борис Васильев	1924	Вещий Олег	1996	художественная	роман	_			книга	омонимия не снята	Хитрость острее меча, но то и другое притупляется. [Борис Васильев. Вещий Олег (1996)] [омонимия не снята]
' ьшиЛ 	 ишорох :инмоп ,оН'	 еыртсо 	'Но, помни: хороши 	 Лишь '	 острые 	 	 карандаши.	Валентин Постников. Карандаш и Самоделкин на Северном полюсе (1996)	Валентин Постников	1970	Карандаш и Самоделкин на Северном полюсе	1996	художественная	сказка	_			книга	омонимия не снята	'Я все могу нарисовать ― 	 Но, помни: хороши 	 Лишь острые карандаши. [Валентин Постников. Карандаш и Самоделкин на Северном полюсе (1996)] [омонимия не снята]'
 янем у хакур итсеш хесв	 еыртсо 	всех шести руках у меня 	 острые 	 	 сабли.	Виктор Пелевин. Чапаев и пустота (1996)	Виктор Пелевин	1962	Чапаев и пустота	1996	художественная	роман	_			книга	омонимия не снята	Скажу только, что во всех шести руках у меня острые сабли. [Виктор Пелевин. Чапаев и пустота (1996)] [омонимия не снята]
 оламеН	 хыртсо 	Немало 	 острых 	 	 стрел летело в сторону тогдашнего	Вячеслав Костиков. Роман с президентом (1996)	Вячеслав Костиков	1940	Роман с президентом	1996	нехудожественная, публицистика	мемуары	_			книга	омонимия не снята	Немало острых стрел летело в сторону тогдашнего руководителя Администрации президента Юрия Петрова, который в демократических кругах считался консерватором. [Вячеслав Костиков. Роман с президентом (1996)] [омонимия не снята]
 едзе в еыннежярпан ьтедиву алепсу	 еыртсо 	успела увидеть напряженные в езде 	 острые 	 	 лопатки.	Галина Щербакова. Год Алены (1996)	Галина Щербакова	1932	Год Алены	1996	художественная	роман	_			книга	омонимия не снята	она только успела увидеть напряженные в езде острые лопатки. [Галина Щербакова. Год Алены (1996)] [омонимия не снята]
 с ,тел итявед -имьсов ,етиВ	 имыртсо 	Вите, восьми- девяти лет, с 	 острыми 	 	 лопатками и вырезанными гландами.	Галина Щербакова. Год Алены (1996)	Галина Щербакова	1932	Год Алены	1996	художественная	роман	_			книга	омонимия не снята	Сейчас Кунины мысли были только об одном ― о мальчике Вите, восьми- девяти лет, с острыми лопатками и вырезанными гландами. [Галина Щербакова. Год Алены (1996)] [омонимия не снята]
 еомас ― ьтачеп " а	 еортсо 	а " печать ― самое 	 острое 	 	 оружие нашей партии", но все-таки,	Георгий Полонский. Был у меня друг (1996)	Георгий Полонский	1939	Был у меня друг	1996	нехудожественная, публицистика	мемуары	_			книга	омонимия не снята	Нет, ты читай, конечно: " чтение ― вот лучшее учение", а " печать ― самое острое оружие нашей партии", но все-таки, наряду с почтением, это немного раздражает… [Георгий Полонский. Был у меня друг (1996)] [омонимия не снята]
 йодов доп маТ	 яартсо 	Там под водой 	 острая 	 	 труба, я ранил ногу, я	Нина Садур. Немец (1996)	Нина Садур	1950	Немец	1996	художественная	роман	_			книга	омонимия не снята	Там под водой острая труба, я ранил ногу, я вылез и стал падать в обморок, я крови боюсь, ужас сколько было крови. [Нина Садур. Немец (1996)] [омонимия не снята]
 имынреч с ,отьлап хынреч хыннилд	 имыртсо 	длинных черных пальто, с черными 	 острыми 	 	 зонтами под мышкой, ― с	Сергей Бабаян. Ротмистр Неженцев (1995-1996)	Сергей Бабаян	1958	Ротмистр Неженцев	1995-1996	художественная	роман	_			книга	омонимия не снята	Виктор посмотрел на него и увидел утренний Литейный ― по которому, в плотном дыму серого с прозеленью тумана, торопились на службу люди в длинных черных пальто, с черными острыми зонтами под мышкой, ― с невыспавшимися, бледными, уставшими от жизни и мыслей лицами Постникова… [Сергей Бабаян. Ротмистр Неженцев (1995-1996)] [омонимия не снята]
 доп ясйещюапол ,йокчорок йовенчирок -отситолоз	 мыртсо 	золотисто- коричневой корочкой, лопающейся под 	 острым 	 	 ножом блестящим от жира разрезом,	Сергей Бабаян. Ротмистр Неженцев (1995-1996)	Сергей Бабаян	1958	Ротмистр Неженцев	1995-1996	художественная	роман	_			книга	омонимия не снята	Голод рвал его на части; даже сейчас, когда все тело его, казалось, было поглощено страданием, ― в мозгу волшебными красками расцветали упоительные, пылающие цветами и запахами картины: пышные ломти хлеба, белоснежное сало с красно- фиолетовыми прожилками, дымящиеся розово- крапчатые картофелины ― и, как болезненный удар, предложенный стариком поросенок: уже густо зажаренный, с золотисто- коричневой корочкой, лопающейся под острым ножом блестящим от жира разрезом, ― из которого [Сергей Бабаян. Ротмистр Неженцев (1995-1996)] [омонимия не снята]
 йыроток ,момуш мысологогонм лажорд колесоп	 мыртсо 	поселок дрожал многоголосым шумом, который 	 острым 	 	 ножом резал пронзительный женский крик: 	Сергей Бабаян. Ротмистр Неженцев (1995-1996)	Сергей Бабаян	1958	Ротмистр Неженцев	1995-1996	художественная	роман	_			книга	омонимия не снята	Краем глаза Виктор видел бегущих с соседнего двора людей; поселок дрожал многоголосым шумом, который острым ножом резал пронзительный женский крик:  [Сергей Бабаян. Ротмистр Неженцев (1995-1996)] [омонимия не снята]
 с ылакс еынженсолеб ,гурков ьнемак	 имыртсо 	камень вокруг, белоснежные скалы с 	 острыми 	 	 гребнями, черные, дышащие холодом, провалы	Константин Серафимов. Экспедиция во мрак (1978-1996)	Константин Серафимов	1953	Экспедиция во мрак	1978-1996	нехудожественная, публицистика	монография	спорт			книга	омонимия не снята	Изъеденный, источенный, пробуравленный камень вокруг, белоснежные скалы с острыми гребнями, черные, дышащие холодом, провалы на дне воронок, в их бортах, просто на ровном месте. [Константин Серафимов. Экспедиция во мрак (1978-1996)] [омонимия не снята]
 ьнечо от-меч анесенан ,яанвор и	 мыртсо 	и ровная, нанесена чем-то очень 	 острым 	 ― 	 бритвой? 	Андрей Лазарчук. Все, способные держать оружие... (1995)	Андрей Лазарчук	1958	Все, способные держать оружие...	1995	художественная	роман	_			книга	омонимия не снята	Рана глубокая и ровная, нанесена чем-то очень острым ― бритвой?  [Андрей Лазарчук. Все, способные держать оружие... (1995)] [омонимия не снята]
 :еижуро еовокевендерс еонниратс олесив ханетс	 еыртсо 	стенах висело старинное средневековое оружие: 	 острые 	 	 мечи и сабли, огромные копья	Валентин Постников. Путешествие Карандаша и Самоделкина (1995)	Валентин Постников	1970	Путешествие Карандаша и Самоделкина	1995	художественная	сказка	_			книга	омонимия не снята	На стенах висело старинное средневековое оружие: острые мечи и сабли, огромные копья и щиты. [Валентин Постников. Путешествие Карандаша и Самоделкина (1995)] [омонимия не снята]
 ,йишорох ,ледиву укпярт юунзярг в	 йыртсо 	в грязную тряпку увидел, хороший, 	 острый 	 	 ножик с костяной ручкой, и взмолился:	Виктор Астафьев. Прокляты и убиты. Книга первая. Чертова яма (1995)	Виктор Астафьев	1924	Прокляты и убиты. Книга первая. Чертова яма	1995	художественная	роман	_			книга	омонимия не снята	Увидел однажды за сценой Зеленцова, мокрого от пота, вином налитого, прячущего деньги за пояс штанов, под гимнастерку, ножик, завернутый в грязную тряпку увидел, хороший, острый ножик с костяной ручкой, и взмолился:  [Виктор Астафьев. Прокляты и убиты. Книга первая. Чертова яма (1995)] [омонимия не снята]
 лункьлем ,яьлырк илащертаЗ	 йыртсо 	Затрещали крылья, мелькнул 	 острый 	 	 крюк багра, и сосед Фрола,	Евгений Лукин. Там, за Ахероном (1995)	Евгений Лукин	1950	Там, за Ахероном	1995	художественная	повесть	_			книга	омонимия не снята	Затрещали крылья, мелькнул острый крюк багра, и сосед Фрола, подхваченный под плечо, взмыл из строя. [Евгений Лукин. Там, за Ахероном (1995)] [омонимия не снята]
 микьнелам йе лизоргоп ,ьсачярп ен	 мыртсо 	не прячась, погрозил ей маленьким 	 острым 	 	 ножом.	Ирина Муравьева. Филемон и Бавкида (1995)	Ирина Муравьева	1952	Филемон и Бавкида	1995	художественная	повесть	_			книга	омонимия не снята	Э-хе-хе, хе-хе, ― пробормотал он и, уже не прячась, погрозил ей маленьким острым ножом. [Ирина Муравьева. Филемон и Бавкида (1995)] [омонимия не снята]
 огокьнелам оге еиневонсокирп алавовтсвуч итчоп	 огортсо 	почти чувствовала прикосновение его маленького 	 острого 	 	 ножа с налипшими на нем	Ирина Муравьева. Филемон и Бавкида (1995)	Ирина Муравьева	1952	Филемон и Бавкида	1995	художественная	повесть	_			книга	омонимия не снята	то ― и это было самое страшное ― она почти чувствовала прикосновение его маленького острого ножа с налипшими на нем волосками… [Ирина Муравьева. Филемон и Бавкида (1995)] [омонимия не снята]
 ьтаминс ястеуднемокер енишрев ее в	 мыртсо 	в ее вершине рекомендуется снимать 	 острым 	 	 зубилом стружку вдоль трещины.	Руководство по эксплуатации строительных конструкций производственных зданий промышленных предприятий (1995)			Руководство по эксплуатации строительных конструкций производственных зданий промышленных предприятий	1995	нехудожественная, производственно-техническая	правила	строительство и архитектура			книга	омонимия не снята	Для обнаружения окончания трещины в ее вершине рекомендуется снимать острым зубилом стружку вдоль трещины. [Руководство по эксплуатации строительных конструкций производственных зданий промышленных предприятий (1995)] [омонимия не снята]
